experiment;time;requests;results;correctness
call-ldp-idx-filt;119119;0;0;0
call-ldp-idx-filt;118164;0;0;0
call-ldp-idx-filt;119202;0;0;0
call-ldp-idx-filt;122631;0;0;0
call-ldp-idx-filt;118198;0;0;0
call-ldp-idx-filt;39709;468;10;1
call-ldp-idx-filt;28579;478;10;1
call-ldp-idx-filt;34694;469;10;1
call-ldp-idx-filt;61984;460;10;1
call-ldp-idx-filt;56838;462;10;1
